"Date","ZCTA5CE10","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2015-04-30,"49013","MI","Kalamazoo","Van Buren","Bangor",12017,897,-0.00111358574610245,-0.0385852090032154,0.0503512880562061,1727
2015-04-30,"24184","VA","Roanoke","Franklin","Wirtz",12018,1363,0.0014695077149155,0.000734214390602056,0,1542
2015-04-30,"54110","WI","Appleton","Calumet","Town of Brillion",12019,1061,-0.00281954887218045,0.0182341650671785,0.0893223819301848,1581
2015-04-30,"24066","VA","Roanoke","Botetourt","Buchanan",12020,1160,-0.00684931506849315,-0.00599828620394173,0.0157618213660245,2462
2015-04-30,"95722","CA","Sacramento","Placer","Meadow Vista",12021,1909,-0.00417318727177882,0.00420831141504471,0.0257925846319183,1696
2015-04-30,"17728","PA","Williamsport","Lycoming","Hepburn",12022,1072,-0.011070110701107,-0.020109689213894,-0.12346688470973,1236
2015-04-30,"03860","NH",,"Carroll","Town of Conway",12023,1351,0.0112275449101796,0.00296956198960653,0.0320855614973262,1558
2015-04-30,"45612","OH","Chillicothe","Ross","Bainbridge",12024,941,0.0228260869565217,0.0573033707865168,0.0941860465116279,814
2015-04-30,"96741","HI","Kapaa","Kauai","Kalaheo",12025,2090,0.0377358490566038,0.00432484382508409,0.052896725440806,1775
2015-04-30,"24064","VA","Roanoke","Botetourt","Blue Ridge",12026,1274,-0.00156739811912226,-0.00156739811912226,0.00631911532385466,1677
2015-04-30,"89061","NV","Pahrump","Nye","Pahrump",12027,1207,0.000829187396351575,0.00249169435215947,0.0211505922165821,1115
2015-04-30,"49265","MI","Adrian","Lenawee","Onsted",12028,1135,0.00265017667844523,0.0179372197309417,0.184759916492693,2751
2015-04-30,"77362","TX","Houston","Montgomery","Pinehurst",12029,1601,0,0.00628535512256443,0.0152187698161065,994
2015-04-30,"19025","PA","Philadelphia","Montgomery","Dresher",12030,2454,-0.00687980574666127,-0.00848484848484849,-0.0215311004784689,1831
2015-04-30,"35175","AL","Albertville","Marshall","Union Grove",12031,968,0.0125523012552301,0.0276008492569002,0.0533188248095756,1597
2015-04-30,"04083","ME","Portland","York","Springvale",12032,1225,0.0225375626043406,0.0276845637583893,0.172248803827751,1289
2015-04-30,"97392","OR","Salem","Marion","Turner",12033,1334,-0.00373412994772218,-0.00224382946896036,0.123841617523168,1481
2015-04-30,"98359","WA","Bremerton","Kitsap","Olalla",12034,1639,0.00367421922841396,0,0.0282308657465496,1284
2015-04-30,"08730","NJ","New York","Monmouth","Brielle",12035,3216,0.0193343898573693,0.0850202429149797,0.0861195542046606,1652
2015-04-30,"17555","PA","Lancaster","Lancaster","Caernarvon Township",12036,1100,-0.0161001788908766,-0.0256864481842338,-0.0590248075278015,1420
2015-04-30,"76531","TX",,"Hamilton","Hamilton",12037,965,-0.0010351966873706,0.00730688935281837,0.0581140350877193,1795
2015-04-30,"17090","PA","Harrisburg","Perry","Carroll Township",12038,1294,-0.00614439324116743,-0.00384911470361817,0.0277998411437649,1124
2015-04-30,"16142","PA","New Castle","Lawrence","Wilmington Township",12039,1196,0.0445414847161572,0.0922374429223744,0.054673721340388,1716
2015-04-30,"94005","CA","San Francisco","San Mateo","Brisbane",12040,3387,0.0107430617726052,0.0297962906658559,0.145805142083897,1437
2015-04-30,"38468","TN","Lawrenceburg","Lawrence","Leoma",12041,940,0,0.0129310344827586,0.0273224043715847,1668
2015-04-30,"15530","PA","Somerset","Somerset","Berlin",12042,1040,-0.00952380952380952,-0.0271281571562208,0.0246305418719212,1032
2015-04-30,"72634","AR",,"Marion","Flippin",12043,918,0.0177383592017738,0.0245535714285714,0.0699300699300699,2438
2015-04-30,"55358","MN","Minneapolis-St Paul","Wright","Maple Lake",12044,1303,-0.00534351145038168,-0.0203007518796992,-0.0143721633888048,2061
2015-04-30,"56143","MN",,"Jackson","Jackson",12045,1140,0.000877963125548727,0.00263852242744063,0.00974313551815766,1576
2015-04-30,"97913","OR","Ontario","Malheur","Nyssa",12046,987,0.0164778578784758,0.0882028665931643,0.145011600928074,1461
2015-04-30,"49920","MI",,"Iron","Crystal Falls",12047,809,-0.00123456790123457,-0.0357568533969011,-0.0241254523522316,1941
2015-04-30,"98443","WA","Seattle","Pierce","Waller",12048,1543,-0.00129449838187702,0.00259909031838856,0.0272969374167776,1769
2015-04-30,"78361","TX",,"Jim Hogg","Hebbronville",12049,1141,0.0142222222222222,0.0372727272727273,0.128585558852621,1873
2015-04-30,"56544","MN",,"Becker","Frazee",12050,1244,0.00974025974025974,0.0155102040816327,-0.050381679389313,1986
2015-04-30,"64158","MO","Kansas City","Jackson","Kansas City",12051,1624,0.0169067000626174,0.0826666666666667,0.187134502923977,1294
2015-04-30,"53508","WI","Madison","Dane","Belleville",12052,1476,-0.0127090301003344,0.0144329896907216,0.0490405117270789,1780
2015-04-30,"67871","KS",,"Scott","Scott City",12053,990,0.0248447204968944,0.0565635005336179,0.156542056074766,1527
2015-04-30,"75124","TX","Athens","Henderson","Eustace",12054,1328,0.00150829562594269,0.0121951219512195,0.10207468879668,678
2015-04-30,"92549","CA","Riverside","Riverside","Idyllwild",12055,1413,0.0129032258064516,0.0224312590448625,0.0107296137339056,3454
2015-04-30,"04950","ME",,"Somerset","Town of Madison",12056,940,-0.00739176346356917,0.0129310344827586,0.0479375696767001,1989
2015-04-30,"18925","PA","Philadelphia","Bucks","Buckingham",12057,2452,0.00286298568507157,-0.0148654077942949,0.00450634985661614,2100
2015-04-30,"14801","NY","Corning","Steuben","Town of Addison",12058,1382,-0.0114449213161659,-0.0468965517241379,-0.0219391365888181,942
2015-04-30,"93434","CA","Santa Barbara","Santa Barbara","Guadalupe",12059,1495,0.00673400673400673,0.0346020761245675,0.0864825581395349,1354
2015-04-30,"95423","CA","Clearlake","Lake","Clearlake Oaks",12060,1092,0.00924214417744917,-0.00546448087431694,-0.112916328188465,1563
2015-04-30,"22947","VA","Charlottesville","Albemarle","Keswick",12061,2005,-0.00496277915632754,-0.0166748406081412,0.0502881089575694,1784
2015-04-30,"99003","WA","Spokane","Spokane","Chattaroy",12062,1415,0.00283486888731396,0.00711743772241993,0.0497032640949555,982
2015-04-30,"21655","MD",,"Caroline","Preston",12063,1415,-0.00281888653981677,-0.0180430256766135,0.0107142857142857,1989
2015-04-30,"29696","SC","Seneca","Oconee","West Union",12064,1087,-0.026857654431513,0.000920810313075506,-0.0224820143884892,1430
2015-04-30,"44644","OH","Canton","Carroll","Malvern",12065,1230,-0.00324149108589951,-0.00485436893203883,0.0165289256198347,1606
2015-04-30,"35619","AL","Decatur","Morgan","Danville",12066,978,0.0166320166320166,0.0584415584415584,0.065359477124183,1081
2015-04-30,"14510","NY","Rochester","Livingston","Mount Morris",12067,1360,-0.0116279069767442,-0.0299572039942939,-0.036144578313253,1071
2015-04-30,"48320","MI","Detroit","Oakland","Keego Harbor",12068,1340,0.00374531835205993,0.0113207547169811,0.0559495665878645,1840
2015-04-30,"67420","KS",,"Mitchell","Beloit",12069,940,0.0195227765726681,0.0609480812641084,0.0693970420932878,1603
